文献番号,発明の名称,要約,請求の範囲,FI,Fターム,IPC,公知日,出願人/権利者,引用文献
JP2011-100087A,樹脂成形品の製造方法,熱可塑性樹脂を射出成形して成形品を得る方法。,樹脂を射出成形する方法。,B29C45/00,4F206AA01,B29C45/00,2011-10-24,湾岸電池株式会社,
JP2021-100036A,鋼管の焼入れ装置,鋼管を回転させながら加熱し、外周から急冷して焼入れする装置。,鋼管を焼入れする装置。,C21D9/08;C21D1/18,4K037AA05,C21D9/08,2021-06-03,北陸熱処理株式会社,
JP2021-100112A,アルミニウム合金の焼入れ方法,アルミニウム合金を溶体化処理後に急冷して焼入れし、時効硬化させる方法。,アルミニウム合金を焼入れする方法。,C22F1/04;C22C21/00,4K018AA01,C22F1/04,2021-05-16,湾岸電池株式会社,
JP2021-100097A,リチウムイオン電池用正極材料,リチウムイオン電池の正極活物質とその製造方法。,正極活物質。,H01M4/525,5H050AA01,H01M4/525,2021-12-12,海洋軽金属株式会社,
JP2015-100030A,厚鋼板の焼入れ方法,厚鋼板を加熱後に水冷して焼入れする方法。橋梁や建築構造物向け。,厚鋼板を焼入れする工程を備える方法。,C21D9/46;C22C38/00,4K037AA01;4K037EA01,C21D9/46,2015-02-25,東西製鉄株式会社,
JP2012-100118A,高強度コンクリートの製造方法,高強度コンクリートを製造するための配合と養生方法。,高強度コンクリートの製造方法。,C04B28/02,4G112AA01,C04B28/02,2012-03-01,南北スチール株式会社,
JP2019-100095A,チタン合金の熱処理方法,チタン合金を溶体化・時効処理する方法。,チタン合金を熱処理する方法。,C22F1/18;C22C14/00,4K018AA05,C22F1/18,2019-03-06,山手化成株式会社,
JP2021-100010A,高張力鋼板の焼入れ方法（第2実施形態）,高張力鋼板を所定温度に加熱し、水冷により急冷して焼入れ組織を得る方法。自動車の車体部品への適用に好適である。,高張力鋼板を加熱し急冷して焼入れする工程を備える焼入れ方法。,C22C38/38;C21D9/46;C21D1/18,4K037AA01;4K037EB01,C22C38/38;C21D9/46,2021-03-08,南北スチール株式会社,JP2013-100014A;JP2019-100020A
JP2011-100102A,ガラスの強化方法,ガラスを加熱後に急冷する風冷強化法。,ガラスを風冷強化する方法。,C03B27/04,4G015AA01,C03B27/04,2011-11-13,東西製鉄株式会社,
JP2020-100035A,厚鋼板の焼入れ方法,厚鋼板を加熱後に水冷して焼入れする方法。橋梁や建築構造物向け。,厚鋼板を焼入れする工程を備える方法。,C21D9/46;C22C38/00,4K037AA01;4K037EA01,C21D9/46,2020-10-13,南北スチール株式会社,
JP2017-100006A,高強度鋼部材の焼入れ焼戻し方法,自動車用の高強度鋼部材を加熱・焼入れした後、焼戻しにより靭性を回復させる方法。,高強度鋼部材を焼入れする工程と焼戻しする工程を備える方法。,C22C38/00;C21D9/46;C21D1/18,4K037AA01;4K037EA01;4K037FA02,C22C38/00;C21D9/46,2017-11-19,東西製鉄株式会社,JP2012-100013A;JP2012-100001A
JP2022-100098A,半導体装置の製造方法,半導体基板に熱処理を施してドーパントを活性化する方法。,半導体基板を熱処理する方法。,H01L21/324,5F140AA01,H01L21/324,2022-10-11,湾岸電池株式会社,
JP2016-100031A,鋼管の焼入れ装置,鋼管を回転させながら加熱し、外周から急冷して焼入れする装置。,鋼管を焼入れする装置。,C21D9/08;C21D1/18,4K037AA05,C21D9/08,2016-11-11,中央金属工業株式会社,
JP2020-100096A,樹脂成形品の製造方法,熱可塑性樹脂を射出成形して成形品を得る方法。,樹脂を射出成形する方法。,B29C45/00,4F206AA01,B29C45/00,2020-02-02,東西製鉄株式会社,
JP2009-100062A,溶融亜鉛めっき高強度鋼板,高強度鋼板の表面に溶融亜鉛めっきを施し耐食性を高めた鋼板。,溶融亜鉛めっき層を有する高強度鋼板。,C23C2/06;C22C38/00,4K027AA01;4K037AA01,C23C2/06,2009-05-08,湾岸電池株式会社,
JP2012-100088A,リチウムイオン電池用正極材料,リチウムイオン電池の正極活物質とその製造方法。,正極活物質。,H01M4/525,5H050AA01,H01M4/525,2012-07-11,湾岸電池株式会社,
