レビュー本文,カテゴリ,商品,価格,購入回数,評価
口コミを見て歯ブラシを選びました。すぐに壊れました。サイズが合わず返品しました。匂いが気になります。普通に使えます。以上、参考になれば。,日用品,歯ブラシ,900,2,低評価
セールでTシャツを注文しました。品質が良く長持ちしそう。初期不良でした。以上、参考になれば。,衣料,Tシャツ,6100,1,高評価
口コミを見てコーヒー豆を選びました。初期不良でした。説明書が分かりにくい。以上、参考になれば。,食品,コーヒー豆,2900,5,低評価
口コミを見て歯ブラシを選びました。品質が良く長持ちしそう。リピート確定です。星5つです。,日用品,歯ブラシ,1800,6,高評価
セールで空気清浄機を注文しました。想像より軽くて扱いやすい。コスパが最高。また利用したいと思います。,家電,空気清浄機,10000,5,高評価
ビジネス書のレビューです。写真と全然違う。星1つです。,書籍,ビジネス書,1300,6,低評価
リュックを家族用に買いました。匂いが気になります。サイズが合わず返品しました。写真と全然違う。特に不満はありません。以上、参考になれば。,衣料,リュック,15300,1,低評価
セールで料理本を注文しました。写真と全然違う。期待外れでがっかり。また利用したいと思います。,書籍,料理本,3100,4,低評価
セールでTシャツを注文しました。デザインが気に入っています。想像より軽くて扱いやすい。家族にも好評。以上、参考になれば。,衣料,Tシャツ,19100,3,高評価
Tシャツを購入。サポートの対応が悪かった。サイズが合わず返品しました。星1つです。,衣料,Tシャツ,17400,2,低評価
口コミを見て空気清浄機を選びました。友人にも勧めたい。家族にも好評。とても使いやすいです。,家電,空気清浄機,38400,6,高評価
セールで歯ブラシを注文しました。品質が良く長持ちしそう。コスパが最高。4点。,日用品,歯ブラシ,2400,1,高評価
漫画を家族用に買いました。家族にも好評。買ってよかった。,書籍,漫画,1000,6,高評価
Tシャツのレビューです。毎日使っています。家族にも好評。梱包も丁寧で好印象。以上、参考になれば。,衣料,Tシャツ,9900,5,高評価
ドライヤーのレビューです。とても使いやすいです。毎日使っています。品質が良く長持ちしそう。説明書が分かりにくい。星4つです。,家電,ドライヤー,25800,4,高評価
電気ケトルのレビューです。品質が良く長持ちしそう。毎日使っています。想像より軽くて扱いやすい。以上、参考になれば。,家電,電気ケトル,39500,3,高評価
口コミを見てTシャツを選びました。リピート確定です。とても使いやすいです。梱包も丁寧で好印象。サポートの対応が悪かった。星5つです。,衣料,Tシャツ,18800,4,高評価
小説を家族用に買いました。毎日使っています。梱包も丁寧で好印象。デザインが気に入っています。値段相応だと思います。星5つです。,書籍,小説,2000,2,高評価
セールで漫画を注文しました。写真と全然違う。すぐに壊れました。1点。,書籍,漫画,2400,6,低評価
口コミを見て緑茶を選びました。可もなく不可もなく。値段相応だと思います。毎日使っています。また利用したいと思います。,食品,緑茶,2600,4,普通
初めてスニーカーを試しました。値段の割に安っぽい。期待外れでがっかり。2点。,衣料,スニーカー,2500,5,低評価
手袋を購入。二度と買いません。とても使いやすいです。星1つです。,衣料,手袋,16600,3,低評価
写真集のレビューです。説明書が分かりにくい。音がうるさくて使えない。品質が良く長持ちしそう。1点。,書籍,写真集,3600,5,低評価
初めて電気ケトルを試しました。友人にも勧めたい。買ってよかった。デザインが気に入っています。以上、参考になれば。,家電,電気ケトル,22500,6,低評価
初めてパスタを試しました。すぐに壊れました。音がうるさくて使えない。説明と違う商品が届いた。星1つです。,食品,パスタ,2000,6,低評価
参考書を家族用に買いました。デザインが気に入っています。値段相応だと思います。以上、参考になれば。,書籍,参考書,3200,1,高評価
掃除機を購入。色が写真と少し違いました。,家電,掃除機,30900,2,普通
初めて炊飯器を試しました。音がうるさくて使えない。説明と違う商品が届いた。星2つです。,家電,炊飯器,34300,1,低評価
コーヒー豆のレビューです。リピート確定です。毎日使っています。総合的には満足。,食品,コーヒー豆,500,6,高評価
小説を購入。他と比べていないので分かりません。まだ数回しか使っていません。,書籍,小説,1100,3,普通
口コミを見てTシャツを選びました。サイズが合わず返品しました。匂いが気になります。値段相応だと思います。,衣料,Tシャツ,8300,1,低評価
タオルのレビューです。説明書どおりの性能。特に不満はありません。4点。,日用品,タオル,2900,3,普通
空気清浄機のレビューです。コスパが最高。買ってよかった。,家電,空気清浄機,35300,1,高評価
口コミを見て歯ブラシを選びました。初期不良でした。総合的には不満。,日用品,歯ブラシ,1300,2,低評価
初めてハンドソープを試しました。写真と全然違う。初期不良でした。期待外れでがっかり。総合的には不満。,日用品,ハンドソープ,2600,1,低評価
緑茶を購入。友人にも勧めたい。想像より軽くて扱いやすい。総合的には満足。,食品,緑茶,3000,6,高評価
セールで電気ケトルを注文しました。期待以上でした。,家電,電気ケトル,20100,1,高評価
口コミを見てパスタを選びました。可もなく不可もなく。普通に使えます。説明と違う商品が届いた。星2つです。,食品,パスタ,1900,3,高評価
ハンドソープを家族用に買いました。匂いが気になります。以上、参考になれば。,日用品,ハンドソープ,3000,4,低評価
炊飯器を購入。他と比べていないので分かりません。星2つです。,家電,炊飯器,8000,4,普通
初めてリュックを試しました。想像より軽くて扱いやすい。デザインが気に入っています。思ったより大きめでした。また利用したいと思います。,衣料,リュック,3700,4,高評価
レトルトカレーを購入。色が写真と少し違いました。梱包も丁寧で好印象。また利用したいと思います。,食品,レトルトカレー,800,3,普通
口コミを見てコーヒー豆を選びました。デザインが気に入っています。毎日使っています。総合的には満足。,食品,コーヒー豆,1800,6,高評価
口コミを見てリュックを選びました。期待以上でした。友人にも勧めたい。想像より軽くて扱いやすい。星5つです。,衣料,リュック,14700,2,高評価
Tシャツを購入。説明書が分かりにくい。写真と全然違う。期待以上でした。また利用したいと思います。,衣料,Tシャツ,13200,3,低評価
ハンドソープを購入。家族にも好評。特に不満はありません。また利用したいと思います。,日用品,ハンドソープ,3000,2,高評価
チョコレートを家族用に買いました。リピート確定です。買ってよかった。総合的には満足。,食品,チョコレート,600,1,高評価
緑茶を家族用に買いました。値段の割に安っぽい。写真と全然違う。サポートの対応が悪かった。以上、参考になれば。,食品,緑茶,2200,2,低評価
セールで料理本を注文しました。期待外れでがっかり。とても使いやすいです。以上、参考になれば。,書籍,料理本,2500,6,低評価
スニーカーを家族用に買いました。期待以上でした。また利用したいと思います。,衣料,スニーカー,9600,4,高評価
初めてチョコレートを試しました。説明書どおりの性能。色が写真と少し違いました。まだ数回しか使っていません。4点。,食品,チョコレート,2100,5,普通
初めてマスクを試しました。写真と全然違う。すぐに壊れました。初期不良でした。また利用したいと思います。,日用品,マスク,1700,1,低評価
緑茶を家族用に買いました。毎日使っています。二度と買いません。5点。,食品,緑茶,1800,4,高評価
口コミを見て参考書を選びました。到着は予定どおりでした。思ったより大きめでした。また利用したいと思います。,書籍,参考書,900,2,普通
セールでTシャツを注文しました。リピート確定です。想像より軽くて扱いやすい。買ってよかった。,衣料,Tシャツ,3600,5,高評価
炊飯器を購入。サポートの対応が悪かった。二度と買いません。写真と全然違う。,家電,炊飯器,15700,6,低評価
コーヒー豆を購入。とても使いやすいです。以上、参考になれば。,食品,コーヒー豆,2500,3,高評価
口コミを見て掃除機を選びました。とても使いやすいです。毎日使っています。総合的には満足。,家電,掃除機,20400,5,高評価
初めて炊飯器を試しました。二度と買いません。サイズが合わず返品しました。星1つです。,家電,炊飯器,6300,2,低評価
初めてビジネス書を試しました。初期不良でした。二度と買いません。梱包も丁寧で好印象。2点。,書籍,ビジネス書,2900,1,低評価
口コミを見てパスタを選びました。リピート確定です。買ってよかった。デザインが気に入っています。総合的には満足。,食品,パスタ,1500,6,高評価
歯ブラシのレビューです。リピート確定です。期待以上でした。梱包も丁寧で好印象。5点。,日用品,歯ブラシ,2300,1,普通
漫画を購入。思ったより大きめでした。色が写真と少し違いました。以上、参考になれば。,書籍,漫画,2400,5,普通
セールでチョコレートを注文しました。毎日使っています。家族にも好評。以上、参考になれば。,食品,チョコレート,1100,3,高評価
コーヒー豆を購入。期待外れでがっかり。説明と違う商品が届いた。値段の割に安っぽい。,食品,コーヒー豆,3200,1,低評価
掃除機のレビューです。コスパが最高。想像より軽くて扱いやすい。とても使いやすいです。また利用したいと思います。,家電,掃除機,11600,3,高評価
炊飯器を家族用に買いました。値段相応だと思います。到着は予定どおりでした。可もなく不可もなく。2点。,家電,炊飯器,33900,6,普通
パスタのレビューです。とても使いやすいです。想像より軽くて扱いやすい。また利用したいと思います。,食品,パスタ,1400,6,高評価
セールでマスクを注文しました。期待以上でした。毎日使っています。以上、参考になれば。,日用品,マスク,1300,3,高評価
初めて収納ボックスを試しました。家族にも好評。毎日使っています。,日用品,収納ボックス,2900,6,高評価
オリーブオイルを家族用に買いました。サポートの対応が悪かった。説明書が分かりにくい。以上、参考になれば。,食品,オリーブオイル,2600,2,低評価
初めてタオルを試しました。説明書が分かりにくい。サポートの対応が悪かった。すぐに壊れました。また利用したいと思います。,日用品,タオル,1400,3,低評価
初めて掃除機を試しました。梱包も丁寧で好印象。まだ数回しか使っていません。また利用したいと思います。,家電,掃除機,18800,3,高評価
ビジネス書を家族用に買いました。値段相応だと思います。思ったより大きめでした。色が写真と少し違いました。総合的にはまあまあ。,書籍,ビジネス書,1500,5,普通
セールで電気ケトルを注文しました。特に不満はありません。普通に使えます。以上、参考になれば。,家電,電気ケトル,21200,6,普通
ダウンジャケットのレビューです。とても使いやすいです。家族にも好評。買ってよかった。以上、参考になれば。,衣料,ダウンジャケット,11600,6,高評価
初めてビジネス書を試しました。すぐに壊れました。写真と全然違う。想像より軽くて扱いやすい。2点。,書籍,ビジネス書,3600,4,低評価
口コミを見て緑茶を選びました。可もなく不可もなく。まだ数回しか使っていません。他と比べていないので分かりません。すぐに壊れました。3点。,食品,緑茶,3900,2,普通
初めて緑茶を試しました。写真と全然違う。以上、参考になれば。,食品,緑茶,3600,5,低評価
ダウンジャケットを家族用に買いました。友人にも勧めたい。二度と買いません。5点。,衣料,ダウンジャケット,13100,6,高評価
初めてチョコレートを試しました。梱包も丁寧で好印象。また利用したいと思います。,食品,チョコレート,3600,4,高評価
口コミを見て写真集を選びました。買ってよかった。説明と違う商品が届いた。また利用したいと思います。,書籍,写真集,3300,4,高評価
写真集のレビューです。デザインが気に入っています。品質が良く長持ちしそう。想像より軽くて扱いやすい。総合的には満足。,書籍,写真集,800,2,高評価
マスクのレビューです。初期不良でした。写真と全然違う。また利用したいと思います。,日用品,マスク,1200,1,低評価
料理本のレビューです。値段の割に安っぽい。サイズが合わず返品しました。総合的には不満。,書籍,料理本,2400,5,低評価
セールで料理本を注文しました。とても使いやすいです。品質が良く長持ちしそう。総合的には満足。,書籍,料理本,900,2,高評価
口コミを見てイヤホンを選びました。サイズが合わず返品しました。家族にも好評。星2つです。,家電,イヤホン,10300,2,低評価
イヤホンを家族用に買いました。他と比べていないので分かりません。到着は予定どおりでした。値段相応だと思います。総合的にはまあまあ。,家電,イヤホン,4900,6,普通
初めてコーヒー豆を試しました。普通に使えます。説明書が分かりにくい。総合的にはまあまあ。,食品,コーヒー豆,3100,1,普通
オリーブオイルのレビューです。品質が良く長持ちしそう。以上、参考になれば。,食品,オリーブオイル,700,1,高評価
漫画を家族用に買いました。想像より軽くて扱いやすい。コスパが最高。,書籍,漫画,800,6,高評価
ビジネス書のレビューです。二度と買いません。説明書が分かりにくい。他と比べていないので分かりません。2点。,書籍,ビジネス書,2100,5,低評価
空気清浄機のレビューです。色が写真と少し違いました。可もなく不可もなく。また利用したいと思います。,家電,空気清浄機,17000,1,普通
参考書のレビューです。サポートの対応が悪かった。二度と買いません。すぐに壊れました。とても使いやすいです。また利用したいと思います。,書籍,参考書,3100,4,低評価
口コミを見てタオルを選びました。リピート確定です。品質が良く長持ちしそう。初期不良でした。総合的には満足。,日用品,タオル,600,3,高評価
空気清浄機のレビューです。写真と全然違う。期待外れでがっかり。匂いが気になります。星1つです。,家電,空気清浄機,25700,1,低評価
口コミを見てチョコレートを選びました。値段相応だと思います。可もなく不可もなく。説明書どおりの性能。星3つです。,食品,チョコレート,1600,2,普通
チョコレートのレビューです。サイズが合わず返品しました。総合的には不満。,食品,チョコレート,2900,4,低評価
Tシャツを家族用に買いました。他と比べていないので分かりません。まだ数回しか使っていません。思ったより大きめでした。以上、参考になれば。,衣料,Tシャツ,10100,2,普通
リュックを購入。到着は予定どおりでした。説明書どおりの性能。初期不良でした。総合的にはまあまあ。,衣料,リュック,14700,4,普通
口コミを見て写真集を選びました。品質が良く長持ちしそう。可もなく不可もなく。,書籍,写真集,1900,5,高評価
レトルトカレーのレビューです。買ってよかった。梱包も丁寧で好印象。とても使いやすいです。以上、参考になれば。,食品,レトルトカレー,1200,1,高評価
パスタのレビューです。特に不満はありません。可もなく不可もなく。到着は予定どおりでした。,食品,パスタ,3700,2,高評価
初めてコーヒー豆を試しました。リピート確定です。また利用したいと思います。,食品,コーヒー豆,600,6,高評価
ハンドソープのレビューです。友人にも勧めたい。期待以上でした。,日用品,ハンドソープ,1400,3,高評価
初めてハンドソープを試しました。コスパが最高。普通に使えます。また利用したいと思います。,日用品,ハンドソープ,2700,2,高評価
セールでコーヒー豆を注文しました。買ってよかった。とても使いやすいです。また利用したいと思います。,食品,コーヒー豆,1900,2,高評価
口コミを見て空気清浄機を選びました。説明と違う商品が届いた。星1つです。,家電,空気清浄機,24600,2,低評価
レトルトカレーを購入。毎日使っています。,食品,レトルトカレー,1500,1,高評価
セールで洗剤を注文しました。毎日使っています。買ってよかった。想像より軽くて扱いやすい。,日用品,洗剤,1000,6,高評価
セールでスニーカーを注文しました。想像より軽くて扱いやすい。,衣料,スニーカー,2900,4,高評価
口コミを見て炊飯器を選びました。想像より軽くて扱いやすい。説明書が分かりにくい。また利用したいと思います。,家電,炊飯器,15900,4,高評価
洗剤を家族用に買いました。期待外れでがっかり。写真と全然違う。普通に使えます。以上、参考になれば。,日用品,洗剤,2800,2,低評価
セールで炊飯器を注文しました。可もなく不可もなく。説明書どおりの性能。普通に使えます。2点。,家電,炊飯器,25400,6,普通
口コミを見てダウンジャケットを選びました。可もなく不可もなく。2点。,衣料,ダウンジャケット,11000,5,普通
口コミを見てマスクを選びました。値段の割に安っぽい。説明書が分かりにくい。初期不良でした。総合的には不満。,日用品,マスク,1400,6,低評価
小説のレビューです。他と比べていないので分かりません。普通に使えます。サイズが合わず返品しました。また利用したいと思います。,書籍,小説,2600,6,普通
セールでドライヤーを注文しました。まだ数回しか使っていません。思ったより大きめでした。説明書どおりの性能。,家電,ドライヤー,36400,6,普通
マスクを購入。リピート確定です。また利用したいと思います。,日用品,マスク,2400,4,高評価
口コミを見てイヤホンを選びました。期待外れでがっかり。値段の割に安っぽい。説明と違う商品が届いた。1点。,家電,イヤホン,20300,3,低評価
パスタを購入。品質が良く長持ちしそう。5点。,食品,パスタ,3200,3,高評価
初めてビジネス書を試しました。デザインが気に入っています。想像より軽くて扱いやすい。また利用したいと思います。,書籍,ビジネス書,3100,3,高評価
タオルを購入。まだ数回しか使っていません。到着は予定どおりでした。特に不満はありません。3点。,日用品,タオル,1000,5,普通
ハンドソープを購入。値段相応だと思います。色が写真と少し違いました。思ったより大きめでした。デザインが気に入っています。2点。,日用品,ハンドソープ,1500,5,普通
チョコレートを購入。色が写真と少し違いました。可もなく不可もなく。到着は予定どおりでした。星2つです。,食品,チョコレート,2900,4,普通
セールで参考書を注文しました。リピート確定です。また利用したいと思います。,書籍,参考書,1300,1,高評価
リュックのレビューです。説明書どおりの性能。色が写真と少し違いました。以上、参考になれば。,衣料,リュック,9400,4,普通
セールで収納ボックスを注文しました。到着は予定どおりでした。可もなく不可もなく。色が写真と少し違いました。,日用品,収納ボックス,700,4,普通
初めてドライヤーを試しました。コスパが最高。総合的には満足。,家電,ドライヤー,14900,3,高評価
掃除機のレビューです。友人にも勧めたい。家族にも好評。5点。,家電,掃除機,6400,5,高評価
初めてパスタを試しました。色が写真と少し違いました。,食品,パスタ,1200,2,普通
初めて写真集を試しました。音がうるさくて使えない。説明書が分かりにくい。値段の割に安っぽい。また利用したいと思います。,書籍,写真集,1400,5,低評価
空気清浄機を購入。写真と全然違う。期待外れでがっかり。サイズが合わず返品しました。星2つです。,家電,空気清浄機,34600,2,低評価
口コミを見てレトルトカレーを選びました。初期不良でした。すぐに壊れました。値段相応だと思います。星2つです。,食品,レトルトカレー,1500,6,低評価
セールで炊飯器を注文しました。初期不良でした。サイズが合わず返品しました。2点。,家電,炊飯器,18700,2,低評価
口コミを見て手袋を選びました。思ったより大きめでした。まだ数回しか使っていません。以上、参考になれば。,衣料,手袋,9800,1,普通
口コミを見てチョコレートを選びました。値段の割に安っぽい。サポートの対応が悪かった。,食品,チョコレート,3000,6,低評価
口コミを見てダウンジャケットを選びました。他と比べていないので分かりません。,衣料,ダウンジャケット,4400,6,普通
電気ケトルを家族用に買いました。梱包も丁寧で好印象。買ってよかった。品質が良く長持ちしそう。以上、参考になれば。,家電,電気ケトル,31200,1,高評価
リュックのレビューです。毎日使っています。家族にも好評。買ってよかった。4点。,衣料,リュック,13100,1,高評価
口コミを見てパスタを選びました。普通に使えます。以上、参考になれば。,食品,パスタ,1100,5,低評価
空気清浄機を購入。友人にも勧めたい。梱包も丁寧で好印象。説明書どおりの性能。,家電,空気清浄機,11000,5,高評価
炊飯器を家族用に買いました。リピート確定です。総合的には満足。,家電,炊飯器,3000,6,高評価
初めてスニーカーを試しました。説明と違う商品が届いた。星2つです。,衣料,スニーカー,2900,4,低評価
初めて参考書を試しました。とても使いやすいです。梱包も丁寧で好印象。以上、参考になれば。,書籍,参考書,3400,4,高評価
口コミを見てパスタを選びました。デザインが気に入っています。総合的には満足。,食品,パスタ,500,2,高評価
初めてダウンジャケットを試しました。写真と全然違う。説明書が分かりにくい。,衣料,ダウンジャケット,11700,5,低評価
セールで小説を注文しました。期待以上でした。以上、参考になれば。,書籍,小説,1200,3,高評価
イヤホンを購入。期待外れでがっかり。初期不良でした。二度と買いません。以上、参考になれば。,家電,イヤホン,26700,2,低評価
ダウンジャケットのレビューです。毎日使っています。家族にも好評。友人にも勧めたい。星5つです。,衣料,ダウンジャケット,7100,5,高評価
収納ボックスを購入。コスパが最高。家族にも好評。毎日使っています。また利用したいと思います。,日用品,収納ボックス,2200,4,高評価
セールで掃除機を注文しました。二度と買いません。1点。,家電,掃除機,27200,6,低評価
掃除機のレビューです。色が写真と少し違いました。値段相応だと思います。普通に使えます。2点。,家電,掃除機,19000,1,普通
掃除機を家族用に買いました。毎日使っています。買ってよかった。梱包も丁寧で好印象。以上、参考になれば。,家電,掃除機,25300,3,高評価
セールでビジネス書を注文しました。デザインが気に入っています。品質が良く長持ちしそう。買ってよかった。総合的には満足。,書籍,ビジネス書,2300,4,高評価
セールでハンドソープを注文しました。サポートの対応が悪かった。,日用品,ハンドソープ,1100,2,低評価
ドライヤーを家族用に買いました。普通に使えます。また利用したいと思います。,家電,ドライヤー,23000,5,普通
レインコートを購入。コスパが最高。想像より軽くて扱いやすい。5点。,衣料,レインコート,16200,3,高評価
リュックのレビューです。品質が良く長持ちしそう。コスパが最高。想像より軽くて扱いやすい。以上、参考になれば。,衣料,リュック,4600,5,高評価
レトルトカレーを家族用に買いました。サイズが合わず返品しました。説明と違う商品が届いた。また利用したいと思います。,食品,レトルトカレー,500,1,低評価
初めてチョコレートを試しました。梱包も丁寧で好印象。初期不良でした。総合的には満足。,食品,チョコレート,800,1,高評価
セールでビジネス書を注文しました。思ったより大きめでした。色が写真と少し違いました。普通に使えます。また利用したいと思います。,書籍,ビジネス書,2900,2,普通
セールでハンドソープを注文しました。色が写真と少し違いました。,日用品,ハンドソープ,2400,4,普通
リュックを家族用に買いました。説明書どおりの性能。値段相応だと思います。普通に使えます。3点。,衣料,リュック,10500,1,普通
初めてコーヒー豆を試しました。とても使いやすいです。以上、参考になれば。,食品,コーヒー豆,3100,2,高評価
収納ボックスを購入。他と比べていないので分かりません。特に不満はありません。以上、参考になれば。,日用品,収納ボックス,1000,4,高評価
セールで手袋を注文しました。値段相応だと思います。他と比べていないので分かりません。また利用したいと思います。,衣料,手袋,15800,1,普通
手袋のレビューです。家族にも好評。想像より軽くて扱いやすい。梱包も丁寧で好印象。サイズが合わず返品しました。総合的には満足。,衣料,手袋,14100,4,高評価
口コミを見てスニーカーを選びました。梱包も丁寧で好印象。期待以上でした。品質が良く長持ちしそう。星4つです。,衣料,スニーカー,18200,4,高評価
セールでマスクを注文しました。写真と全然違う。,日用品,マスク,2700,2,低評価
タオルのレビューです。写真と全然違う。2点。,日用品,タオル,1700,2,低評価
ダウンジャケットを家族用に買いました。匂いが気になります。すぐに壊れました。星1つです。,衣料,ダウンジャケット,3600,2,低評価
ダウンジャケットを購入。写真と全然違う。すぐに壊れました。初期不良でした。1点。,衣料,ダウンジャケット,2000,3,低評価
炊飯器を家族用に買いました。サポートの対応が悪かった。匂いが気になります。期待外れでがっかり。,家電,炊飯器,32000,3,低評価
口コミを見てオリーブオイルを選びました。値段相応だと思います。すぐに壊れました。総合的にはまあまあ。,食品,オリーブオイル,3400,1,普通
歯ブラシを家族用に買いました。音がうるさくて使えない。とても使いやすいです。1点。,日用品,歯ブラシ,3000,4,低評価
タオルを家族用に買いました。毎日使っています。品質が良く長持ちしそう。また利用したいと思います。,日用品,タオル,1600,2,高評価
Tシャツを購入。友人にも勧めたい。星5つです。,衣料,Tシャツ,13300,3,高評価
セールでスニーカーを注文しました。友人にも勧めたい。コスパが最高。想像より軽くて扱いやすい。また利用したいと思います。,衣料,スニーカー,18200,6,高評価
初めてレトルトカレーを試しました。リピート確定です。以上、参考になれば。,食品,レトルトカレー,1300,4,高評価
口コミを見てドライヤーを選びました。匂いが気になります。音がうるさくて使えない。1点。,家電,ドライヤー,38700,2,低評価
Tシャツのレビューです。思ったより大きめでした。他と比べていないので分かりません。説明書どおりの性能。星3つです。,衣料,Tシャツ,12500,6,普通
口コミを見てオリーブオイルを選びました。サポートの対応が悪かった。写真と全然違う。二度と買いません。また利用したいと思います。,食品,オリーブオイル,3600,2,低評価
ドライヤーを購入。買ってよかった。値段の割に安っぽい。星5つです。,家電,ドライヤー,6300,5,高評価
口コミを見て収納ボックスを選びました。品質が良く長持ちしそう。友人にも勧めたい。家族にも好評。値段相応だと思います。また利用したいと思います。,日用品,収納ボックス,1400,4,高評価
オリーブオイルを購入。写真と全然違う。匂いが気になります。2点。,食品,オリーブオイル,2800,1,低評価
初めて料理本を試しました。品質が良く長持ちしそう。期待以上でした。友人にも勧めたい。5点。,書籍,料理本,3000,4,高評価
口コミを見て料理本を選びました。説明と違う商品が届いた。すぐに壊れました。総合的には不満。,書籍,料理本,2100,1,低評価
初めてダウンジャケットを試しました。毎日使っています。,衣料,ダウンジャケット,15600,6,高評価
レトルトカレーを家族用に買いました。とても使いやすいです。5点。,食品,レトルトカレー,2300,3,高評価
セールでハンドソープを注文しました。デザインが気に入っています。リピート確定です。想像より軽くて扱いやすい。5点。,日用品,ハンドソープ,2800,1,高評価
収納ボックスを購入。コスパが最高。買ってよかった。以上、参考になれば。,日用品,収納ボックス,1100,3,高評価
初めて写真集を試しました。すぐに壊れました。匂いが気になります。二度と買いません。総合的には不満。,書籍,写真集,1400,2,低評価
セールでコーヒー豆を注文しました。買ってよかった。コスパが最高。想像より軽くて扱いやすい。,食品,コーヒー豆,1700,4,高評価
コーヒー豆のレビューです。説明と違う商品が届いた。以上、参考になれば。,食品,コーヒー豆,1100,2,低評価
セールでタオルを注文しました。思ったより大きめでした。値段相応だと思います。星2つです。,日用品,タオル,900,1,普通
口コミを見て手袋を選びました。品質が良く長持ちしそう。,衣料,手袋,4000,5,高評価
ドライヤーを購入。値段の割に安っぽい。写真と全然違う。2点。,家電,ドライヤー,28000,4,低評価
パスタのレビューです。説明と違う商品が届いた。サポートの対応が悪かった。すぐに壊れました。,食品,パスタ,2200,3,低評価
チョコレートを購入。音がうるさくて使えない。写真と全然違う。期待外れでがっかり。普通に使えます。また利用したいと思います。,食品,チョコレート,800,6,低評価
セールで電気ケトルを注文しました。思ったより大きめでした。普通に使えます。期待外れでがっかり。星2つです。,家電,電気ケトル,15200,5,普通
初めて写真集を試しました。買ってよかった。コスパが最高。期待以上でした。説明書どおりの性能。4点。,書籍,写真集,2100,3,高評価
オリーブオイルを購入。思ったより大きめでした。到着は予定どおりでした。普通に使えます。品質が良く長持ちしそう。星3つです。,食品,オリーブオイル,2600,6,普通
セールでイヤホンを注文しました。デザインが気に入っています。また利用したいと思います。,家電,イヤホン,35100,3,高評価
セールで参考書を注文しました。品質が良く長持ちしそう。リピート確定です。,書籍,参考書,1900,3,高評価
セールで炊飯器を注文しました。特に不満はありません。星2つです。,家電,炊飯器,15000,1,普通
オリーブオイルを購入。説明と違う商品が届いた。匂いが気になります。また利用したいと思います。,食品,オリーブオイル,900,5,低評価
コーヒー豆を家族用に買いました。他と比べていないので分かりません。また利用したいと思います。,食品,コーヒー豆,1800,2,普通
料理本のレビューです。説明と違う商品が届いた。匂いが気になります。初期不良でした。他と比べていないので分かりません。総合的には不満。,書籍,料理本,2100,3,低評価
セールで写真集を注文しました。リピート確定です。毎日使っています。梱包も丁寧で好印象。,書籍,写真集,2000,2,高評価
初めてタオルを試しました。家族にも好評。デザインが気に入っています。,日用品,タオル,1900,3,高評価
オリーブオイルを家族用に買いました。写真と全然違う。値段の割に安っぽい。,食品,オリーブオイル,3900,3,低評価
セールで炊飯器を注文しました。想像より軽くて扱いやすい。デザインが気に入っています。,家電,炊飯器,38600,1,高評価
緑茶のレビューです。とても使いやすいです。友人にも勧めたい。梱包も丁寧で好印象。総合的には満足。,食品,緑茶,700,1,高評価
セールで手袋を注文しました。サイズが合わず返品しました。説明と違う商品が届いた。音がうるさくて使えない。総合的には不満。,衣料,手袋,3100,3,低評価
小説のレビューです。可もなく不可もなく。まだ数回しか使っていません。星4つです。,書籍,小説,3100,4,普通
緑茶を購入。初期不良でした。値段の割に安っぽい。値段相応だと思います。以上、参考になれば。,食品,緑茶,1600,6,低評価
初めて空気清浄機を試しました。普通に使えます。色が写真と少し違いました。3点。,家電,空気清浄機,25800,5,普通
ハンドソープのレビューです。とても使いやすいです。想像より軽くて扱いやすい。,日用品,ハンドソープ,2100,3,高評価
口コミを見て歯ブラシを選びました。とても使いやすいです。サイズが合わず返品しました。総合的には満足。,日用品,歯ブラシ,1400,4,高評価
セールで手袋を注文しました。サイズが合わず返品しました。匂いが気になります。,衣料,手袋,19500,5,低評価
料理本を家族用に買いました。とても使いやすいです。,書籍,料理本,2600,5,高評価
チョコレートを購入。説明と違う商品が届いた。期待外れでがっかり。音がうるさくて使えない。友人にも勧めたい。1点。,食品,チョコレート,2000,2,低評価
セールで緑茶を注文しました。初期不良でした。二度と買いません。値段の割に安っぽい。総合的には不満。,食品,緑茶,3600,2,低評価
参考書のレビューです。友人にも勧めたい。想像より軽くて扱いやすい。品質が良く長持ちしそう。4点。,書籍,参考書,3100,1,高評価
口コミを見てスニーカーを選びました。説明と違う商品が届いた。写真と全然違う。また利用したいと思います。,衣料,スニーカー,15700,5,低評価
写真集を家族用に買いました。買ってよかった。家族にも好評。とても使いやすいです。以上、参考になれば。,書籍,写真集,2300,1,高評価
口コミを見てTシャツを選びました。想像より軽くて扱いやすい。総合的には満足。,衣料,Tシャツ,13600,4,高評価
セールで掃除機を注文しました。説明書どおりの性能。普通に使えます。特に不満はありません。総合的にはまあまあ。,家電,掃除機,34200,4,普通
ビジネス書のレビューです。匂いが気になります。写真と全然違う。星1つです。,書籍,ビジネス書,2200,1,低評価
ドライヤーのレビューです。想像より軽くて扱いやすい。リピート確定です。総合的には満足。,家電,ドライヤー,38600,6,高評価
セールでレインコートを注文しました。品質が良く長持ちしそう。星5つです。,衣料,レインコート,16100,3,高評価
空気清浄機を家族用に買いました。値段相応だと思います。普通に使えます。2点。,家電,空気清浄機,39600,6,普通
手袋のレビューです。二度と買いません。初期不良でした。以上、参考になれば。,衣料,手袋,13200,4,低評価
