車両説明,メーカー,年式,走行距離_万km,排気量_cc,色,車検,価格_万円
2020年式 スバル フォレスター G 走行7.0万km 禁煙車 鍵1本のみ 車検切れ,スバル,2020,7.0,2000,赤,あり,155.9
2016年式 スバル インプレッサ S 走行7.5万km ワンオーナー 純正ナビ,スバル,2016,7.5,1800,パール,あり,75.1
2010年式 マツダ デミオ 4WD 走行13.3万km 衝突被害軽減ブレーキ ETC フルセグTV ディーラー整備記録簿あり 鍵1本のみ 小キズ多数,マツダ,2010,13.3,2500,シルバー,あり,21.4
2022年式 マツダ デミオ 4WD 走行2.5万km ディーラー整備記録簿あり,マツダ,2022,2.5,1000,シルバー,あり,131.4
2015年式 日産 リーフ S 走行5.0万km バックカメラ サンルーフ,日産,2015,5.0,0,パール,あり,102.7
2023年式 マツダ ロードスター S 走行4.3万km ナビ地図データ古い,マツダ,2023,4.3,1500,シルバー,あり,214.0
2021年式 ホンダ ステップワゴン X 走行2.1万km サンルーフ ディーラー整備記録簿あり 新品タイヤ交換済 ドライブレコーダー 鍵1本のみ,ホンダ,2021,2.1,2500,シルバー,あり,233.8
2010年式 マツダ デミオ S 走行12.7万km ワンオーナー 新品タイヤ交換済 衝突被害軽減ブレーキ 禁煙車,マツダ,2010,12.7,1000,青,なし,23.9
2020年式 トヨタ ハリアー X 走行2.3万km ドライブレコーダー LEDヘッドライト フルセグTV 純正ナビ,トヨタ,2020,2.3,660,黒,なし,222.8
2020年式 ホンダ N-BOX Z 走行2.6万km ディーラー整備記録簿あり ドライブレコーダー 純正ナビ ETC,ホンダ,2020,2.6,1000,パール,あり,87.7
2016年式 ホンダ N-BOX ターボ 走行7.0万km,ホンダ,2016,7.0,1000,白,あり,54.1
2009年式 ホンダ ヴェゼル ハイブリッド 走行13.1万km サンルーフ 衝突被害軽減ブレーキ 新品タイヤ交換済,ホンダ,2009,13.1,2500,黒,あり,39.9
2015年式 ホンダ N-BOX X 走行7.7万km 禁煙車 車検切れ,ホンダ,2015,7.7,1800,シルバー,あり,39.4
2009年式 ホンダ ヴェゼル ハイブリッド 走行14.4万km 禁煙車 純正ナビ,ホンダ,2009,14.4,2000,黒,あり,35.6
2012年式 トヨタ アルファード Z 走行11.3万km 車検切れ,トヨタ,2012,11.3,2500,赤,あり,70.3
2022年式 トヨタ アルファード Z 走行4.2万km ワンオーナー 衝突被害軽減ブレーキ 両側パワースライドドア 純正ナビ サンルーフ 内装に汚れ,トヨタ,2022,4.2,1200,パール,あり,400.3
2016年式 日産 リーフ ターボ 走行8.7万km ETC 内装に汚れ,日産,2016,8.7,0,黒,なし,90.8
2012年式 スズキ ハスラー ターボ 走行12.8万km 本革シート ETC 車検切れ,スズキ,2012,12.8,2500,シルバー,あり,24.4
2022年式 スズキ ハスラー 4WD 走行0.1万km 衝突被害軽減ブレーキ フルセグTV 純正ナビ 鍵1本のみ 修復歴あり,スズキ,2022,0.1,1000,黒,あり,74.3
2018年式 トヨタ アルファード ハイブリッド 走行4.8万km フルセグTV 純正ナビ バッテリー要交換,トヨタ,2018,4.8,1500,シルバー,あり,208.9
2022年式 スズキ スイフト ハイブリッド 走行0.1万km 禁煙車 ディーラー整備記録簿あり,スズキ,2022,0.1,2500,赤,なし,138.6
2011年式 スバル レヴォーグ S 走行15.1万km LEDヘッドライト サンルーフ ディーラー整備記録簿あり ドライブレコーダー,スバル,2011,15.1,1200,シルバー,あり,58.4
2019年式 トヨタ ハリアー S 走行3.5万km ワンオーナー ETC 両側パワースライドドア ディーラー整備記録簿あり 衝突被害軽減ブレーキ タイヤ溝少なめ,トヨタ,2019,3.5,1000,パール,なし,268.9
2019年式 スバル レヴォーグ ハイブリッド 走行4.5万km ドライブレコーダー,スバル,2019,4.5,1800,青,あり,174.9
2013年式 日産 セレナ G 走行9.5万km バックカメラ 純正ナビ 禁煙車 サンルーフ,日産,2013,9.5,1000,赤,あり,76.1
2018年式 スバル インプレッサ G 走行4.3万km ワンオーナー 新品タイヤ交換済 サンルーフ,スバル,2018,4.3,660,黒,あり,120.5
2023年式 トヨタ アクア S 走行3.5万km ETC LEDヘッドライト,トヨタ,2023,3.5,2000,黒,あり,154.5
2017年式 マツダ CX-5 4WD 走行7.3万km ディーラー整備記録簿あり バックカメラ 禁煙車 両側パワースライドドア,マツダ,2017,7.3,1000,シルバー,あり,163.2
2017年式 トヨタ アルファード Z 走行8.1万km バックカメラ 禁煙車 ETC LEDヘッドライト 両側パワースライドドア 修復歴あり,トヨタ,2017,8.1,1500,青,あり,129.1
2017年式 ホンダ ヴェゼル 4WD 走行8.9万km 純正ナビ,ホンダ,2017,8.9,1800,青,あり,102.0
2017年式 マツダ デミオ Z 走行7.5万km サンルーフ 内装に汚れ 小キズ多数,マツダ,2017,7.5,1200,白,あり,53.8
2014年式 ホンダ ヴェゼル 4WD 走行6.7万km 新品タイヤ交換済,ホンダ,2014,6.7,2500,シルバー,あり,76.1
2015年式 ホンダ フィット G 走行8.0万km ワンオーナー 衝突被害軽減ブレーキ ETC,ホンダ,2015,8.0,2500,青,あり,55.1
2015年式 ホンダ ステップワゴン 4WD 走行7.6万km 両側パワースライドドア 本革シート,ホンダ,2015,7.6,1500,赤,あり,112.6
2017年式 スバル フォレスター Z 走行4.4万km ディーラー整備記録簿あり,スバル,2017,4.4,660,パール,あり,134.6
2009年式 日産 ノート X 走行13.9万km ディーラー整備記録簿あり 純正ナビ LEDヘッドライト サンルーフ,日産,2009,13.9,660,パール,あり,23.4
2022年式 マツダ ロードスター 特別仕様車 走行3.2万km 本革シート LEDヘッドライト 修復歴あり エアコン効き弱い,マツダ,2022,3.2,1000,白,あり,114.3
2010年式 トヨタ プリウス G 走行13.8万km LEDヘッドライト フルセグTV 両側パワースライドドア 本革シート,トヨタ,2010,13.8,1500,青,なし,36.0
2017年式 スズキ ジムニー Z 走行6.6万km 本革シート ワンオーナー 純正ナビ バックカメラ 新品タイヤ交換済,スズキ,2017,6.6,1000,青,なし,91.4
2021年式 マツダ デミオ 特別仕様車 走行3.9万km LEDヘッドライト タイヤ溝少なめ,マツダ,2021,3.9,2000,青,なし,97.3
2020年式 トヨタ アクア 特別仕様車 走行6.3万km 禁煙車 ワンオーナー 小キズ多数 バッテリー要交換 ナビ地図データ古い,トヨタ,2020,6.3,1200,白,なし,89.5
2015年式 日産 セレナ Z 走行7.9万km ETC 衝突被害軽減ブレーキ バックカメラ,日産,2015,7.9,1000,黒,あり,88.6
2014年式 日産 セレナ 特別仕様車 走行7.8万km バックカメラ タイヤ溝少なめ,日産,2014,7.8,2500,白,あり,76.0
2023年式 マツダ デミオ 特別仕様車 走行0.5万km ドライブレコーダー 衝突被害軽減ブレーキ 純正ナビ ETC ディーラー整備記録簿あり 内装に汚れ,マツダ,2023,0.5,1000,シルバー,あり,176.1
2009年式 スバル フォレスター ハイブリッド 走行10.1万km 純正ナビ バッテリー要交換,スバル,2009,10.1,1800,黒,あり,42.0
2016年式 マツダ CX-5 4WD 走行6.9万km エアコン効き弱い,マツダ,2016,6.9,660,シルバー,あり,82.6
2012年式 スズキ ハスラー S 走行12.7万km ETC バックカメラ 禁煙車 両側パワースライドドア,スズキ,2012,12.7,1200,白,なし,26.8
2018年式 スバル インプレッサ ターボ 走行4.5万km ETC バッテリー要交換,スバル,2018,4.5,1800,青,あり,100.6
2016年式 スズキ ジムニー Z 走行7.0万km ETC フルセグTV 本革シート サンルーフ,スズキ,2016,7.0,660,赤,あり,84.1
2018年式 トヨタ カローラ X 走行6.4万km,トヨタ,2018,6.4,1500,シルバー,なし,81.7
2023年式 ホンダ ステップワゴン 4WD 走行4.8万km,ホンダ,2023,4.8,1200,黒,なし,272.7
2023年式 スバル フォレスター Z 走行0.9万km ドライブレコーダー ETC フルセグTV 禁煙車 バッテリー要交換 エアコン効き弱い タイヤ溝少なめ,スバル,2023,0.9,2000,青,なし,210.2
2013年式 日産 エクストレイル S 走行12.4万km 禁煙車 両側パワースライドドア 内装に汚れ,日産,2013,12.4,660,白,あり,64.4
2010年式 スズキ ジムニー ハイブリッド 走行13.8万km 修復歴あり,スズキ,2010,13.8,1200,赤,あり,15.0
2012年式 トヨタ カローラ Z 走行13.8万km ワンオーナー 衝突被害軽減ブレーキ ETC 鍵1本のみ,トヨタ,2012,13.8,660,シルバー,なし,29.5
2018年式 マツダ CX-5 Z 走行7.4万km 本革シート 小キズ多数,マツダ,2018,7.4,1800,パール,あり,131.7
2019年式 トヨタ アクア Z 走行3.5万km 純正ナビ,トヨタ,2019,3.5,660,シルバー,なし,87.9
2009年式 トヨタ プリウス ターボ 走行15.3万km LEDヘッドライト 本革シート バックカメラ,トヨタ,2009,15.3,2000,青,なし,31.6
2010年式 マツダ ロードスター 4WD 走行15.8万km フルセグTV,マツダ,2010,15.8,2500,青,あり,38.0
2016年式 スズキ ハスラー Z 走行7.2万km ディーラー整備記録簿あり サンルーフ,スズキ,2016,7.2,2000,白,あり,47.7
2022年式 スズキ スイフト 4WD 走行0.8万km 両側パワースライドドア サンルーフ 純正ナビ フルセグTV エアコン効き弱い タイヤ溝少なめ,スズキ,2022,0.8,2000,青,なし,118.6
2018年式 マツダ ロードスター S 走行5.4万km バックカメラ,マツダ,2018,5.4,1500,白,なし,119.5
2013年式 スズキ ジムニー G 走行11.0万km 新品タイヤ交換済 修復歴あり ナビ地図データ古い,スズキ,2013,11.0,1200,青,あり,22.7
2022年式 日産 ノート 特別仕様車 走行0.1万km LEDヘッドライト 衝突被害軽減ブレーキ 禁煙車 新品タイヤ交換済 バッテリー要交換 車検切れ,日産,2022,0.1,1000,黒,あり,139.7
2016年式 スズキ スイフト ハイブリッド 走行3.9万km 純正ナビ 両側パワースライドドア 禁煙車 ドライブレコーダー バックカメラ 鍵1本のみ,スズキ,2016,3.9,1200,黒,なし,56.7
2019年式 スズキ スイフト X 走行4.7万km フルセグTV 本革シート ワンオーナー LEDヘッドライト,スズキ,2019,4.7,1800,赤,あり,83.9
2012年式 スバル インプレッサ X 走行11.2万km 本革シート バックカメラ ナビ地図データ古い タイヤ溝少なめ,スバル,2012,11.2,1500,シルバー,なし,45.7
2017年式 ホンダ フィット ターボ 走行10.0万km サンルーフ ディーラー整備記録簿あり フルセグTV 本革シート 衝突被害軽減ブレーキ,ホンダ,2017,10.0,660,シルバー,あり,79.5
2014年式 ホンダ N-BOX G 走行7.9万km,ホンダ,2014,7.9,2000,パール,あり,38.7
2017年式 トヨタ アクア Z 走行6.9万km ETC ワンオーナー ディーラー整備記録簿あり エアコン効き弱い タイヤ溝少なめ,トヨタ,2017,6.9,1200,黒,なし,53.4
2017年式 スズキ ジムニー G 走行8.0万km,スズキ,2017,8.0,1500,パール,あり,65.8
2011年式 日産 リーフ 特別仕様車 走行8.0万km 衝突被害軽減ブレーキ 本革シート ETC 両側パワースライドドア LEDヘッドライト ナビ地図データ古い,日産,2011,8.0,0,黒,あり,74.6
2020年式 マツダ デミオ Z 走行7.6万km バックカメラ 内装に汚れ 修復歴あり,マツダ,2020,7.6,1800,白,あり,42.5
2012年式 ホンダ フィット X 走行12.7万km サンルーフ LEDヘッドライト 修復歴あり,ホンダ,2012,12.7,1200,赤,あり,16.3
2019年式 トヨタ アクア X 走行6.4万km ETC バックカメラ ナビ地図データ古い,トヨタ,2019,6.4,1200,青,あり,83.9
2013年式 マツダ デミオ ハイブリッド 走行13.1万km 禁煙車 バックカメラ 純正ナビ 小キズ多数,マツダ,2013,13.1,2000,赤,あり,27.0
2021年式 トヨタ ハリアー ターボ 走行5.4万km フルセグTV サンルーフ 新品タイヤ交換済,トヨタ,2021,5.4,1800,シルバー,なし,267.3
2020年式 ホンダ N-BOX S 走行0.4万km 純正ナビ,ホンダ,2020,0.4,1000,シルバー,なし,88.2
2014年式 マツダ CX-5 ハイブリッド 走行12.0万km ETC 本革シート ワンオーナー 車検切れ,マツダ,2014,12.0,660,パール,あり,92.6
2012年式 トヨタ カローラ Z 走行13.4万km 本革シート,トヨタ,2012,13.4,1000,黒,なし,33.4
2014年式 スバル インプレッサ 4WD 走行11.6万km ディーラー整備記録簿あり 両側パワースライドドア ETC ドライブレコーダー,スバル,2014,11.6,1200,シルバー,なし,65.7
2022年式 トヨタ ハリアー Z 走行0.1万km サンルーフ 両側パワースライドドア ETC 衝突被害軽減ブレーキ ディーラー整備記録簿あり 修復歴あり バッテリー要交換,トヨタ,2022,0.1,1500,白,なし,257.5
2015年式 ホンダ ステップワゴン ハイブリッド 走行8.1万km ワンオーナー,ホンダ,2015,8.1,660,黒,あり,105.7
2011年式 マツダ デミオ Z 走行13.8万km 両側パワースライドドア 新品タイヤ交換済 フルセグTV タイヤ溝少なめ 修復歴あり,マツダ,2011,13.8,1200,赤,あり,15.0
2014年式 スバル インプレッサ X 走行11.2万km 小キズ多数 鍵1本のみ,スバル,2014,11.2,2000,シルバー,あり,39.7
2021年式 ホンダ ヴェゼル ターボ 走行2.3万km ディーラー整備記録簿あり,ホンダ,2021,2.3,1500,赤,あり,190.8
2022年式 日産 セレナ ターボ 走行0.1万km 衝突被害軽減ブレーキ サンルーフ 内装に汚れ 鍵1本のみ,日産,2022,0.1,2000,赤,なし,252.7
2023年式 スバル レヴォーグ 特別仕様車 走行3.8万km フルセグTV,スバル,2023,3.8,1200,シルバー,あり,309.9
2018年式 ホンダ ヴェゼル ハイブリッド 走行2.9万km サンルーフ 本革シート ドライブレコーダー 禁煙車 ワンオーナー 鍵1本のみ,ホンダ,2018,2.9,1200,赤,なし,180.7
2012年式 トヨタ カローラ S 走行10.1万km 両側パワースライドドア 純正ナビ ETC 禁煙車 ドライブレコーダー,トヨタ,2012,10.1,2000,シルバー,なし,42.6
2015年式 マツダ デミオ 4WD 走行8.0万km LEDヘッドライト 純正ナビ ワンオーナー 新品タイヤ交換済 禁煙車,マツダ,2015,8.0,1800,パール,なし,58.0
2012年式 日産 リーフ 特別仕様車 走行13.1万km ワンオーナー バックカメラ バッテリー要交換,日産,2012,13.1,0,赤,なし,68.2
2020年式 スバル インプレッサ ハイブリッド 走行5.3万km ワンオーナー LEDヘッドライト ドライブレコーダー 内装に汚れ,スバル,2020,5.3,1800,シルバー,なし,145.8
2021年式 日産 リーフ X 走行0.1万km ドライブレコーダー 純正ナビ 本革シート 両側パワースライドドア 小キズ多数 車検切れ,日産,2021,0.1,0,青,あり,258.7
2009年式 スバル フォレスター G 走行13.5万km ディーラー整備記録簿あり 本革シート 内装に汚れ エアコン効き弱い バッテリー要交換,スバル,2009,13.5,1000,パール,なし,32.0
2013年式 トヨタ カローラ ターボ 走行13.0万km ワンオーナー 禁煙車 純正ナビ サンルーフ 鍵1本のみ,トヨタ,2013,13.0,1200,青,なし,48.0
2020年式 日産 セレナ Z 走行2.5万km ETC エアコン効き弱い,日産,2020,2.5,2000,パール,あり,164.7
2011年式 トヨタ プリウス G 走行9.0万km ドライブレコーダー,トヨタ,2011,9.0,660,青,あり,36.8
2020年式 トヨタ カローラ X 走行3.5万km,トヨタ,2020,3.5,1500,白,あり,106.4
2011年式 日産 セレナ ターボ 走行12.0万km ETC 内装に汚れ,日産,2011,12.0,2000,青,なし,42.2
2011年式 日産 リーフ G 走行8.1万km ETC ドライブレコーダー 衝突被害軽減ブレーキ 新品タイヤ交換済 両側パワースライドドア,日産,2011,8.1,0,パール,なし,53.8
2015年式 ホンダ フィット G 走行6.3万km 本革シート 両側パワースライドドア LEDヘッドライト ディーラー整備記録簿あり ドライブレコーダー 修復歴あり,ホンダ,2015,6.3,1000,パール,あり,39.5
2017年式 トヨタ アクア Z 走行6.5万km 新品タイヤ交換済 フルセグTV ETC 純正ナビ,トヨタ,2017,6.5,1800,青,あり,74.2
2022年式 マツダ ロードスター Z 走行0.1万km バッテリー要交換,マツダ,2022,0.1,1000,青,あり,204.7
2014年式 スバル インプレッサ S 走行9.0万km 純正ナビ,スバル,2014,9.0,1500,赤,なし,52.8
2023年式 マツダ CX-5 G 走行2.3万km ドライブレコーダー LEDヘッドライト,マツダ,2023,2.3,1200,青,あり,271.6
2021年式 ホンダ ステップワゴン Z 走行3.7万km LEDヘッドライト ドライブレコーダー ワンオーナー,ホンダ,2021,3.7,1000,パール,あり,205.3
2018年式 マツダ CX-5 4WD 走行6.9万km 衝突被害軽減ブレーキ バックカメラ 本革シート 新品タイヤ交換済 エアコン効き弱い 車検切れ,マツダ,2018,6.9,1200,黒,なし,149.0
2023年式 日産 エクストレイル 特別仕様車 走行1.5万km 両側パワースライドドア LEDヘッドライト,日産,2023,1.5,1500,白,あり,313.6
2016年式 マツダ デミオ Z 走行7.1万km 禁煙車 ディーラー整備記録簿あり バッテリー要交換 ナビ地図データ古い,マツダ,2016,7.1,1500,パール,あり,54.9
2016年式 トヨタ アルファード Z 走行4.9万km サンルーフ 衝突被害軽減ブレーキ 禁煙車 ドライブレコーダー 純正ナビ 修復歴あり,トヨタ,2016,4.9,1000,黒,あり,128.7
2018年式 日産 エクストレイル 特別仕様車 走行5.7万km ドライブレコーダー 鍵1本のみ,日産,2018,5.7,1200,シルバー,なし,146.1
2012年式 マツダ デミオ ハイブリッド 走行14.2万km 新品タイヤ交換済 ETC 修復歴あり エアコン効き弱い,マツダ,2012,14.2,660,青,あり,15.0
2022年式 スバル レヴォーグ 4WD 走行3.5万km 新品タイヤ交換済,スバル,2022,3.5,1000,黒,あり,283.2
2009年式 マツダ CX-5 X 走行12.4万km ディーラー整備記録簿あり 車検切れ,マツダ,2009,12.4,1800,赤,あり,34.9
2017年式 ホンダ フィット G 走行7.4万km サンルーフ ディーラー整備記録簿あり ワンオーナー 小キズ多数,ホンダ,2017,7.4,1000,黒,なし,66.3
2022年式 日産 セレナ ターボ 走行0.1万km 内装に汚れ,日産,2022,0.1,1800,赤,あり,224.3
2020年式 ホンダ ヴェゼル G 走行6.0万km LEDヘッドライト ドライブレコーダー 衝突被害軽減ブレーキ ETC サンルーフ,ホンダ,2020,6.0,1000,白,なし,175.4
2021年式 スバル レヴォーグ 特別仕様車 走行4.0万km 衝突被害軽減ブレーキ ドライブレコーダー ワンオーナー LEDヘッドライト ディーラー整備記録簿あり,スバル,2021,4.0,1200,パール,あり,304.9
2019年式 日産 エクストレイル G 走行4.1万km LEDヘッドライト,日産,2019,4.1,1500,シルバー,なし,168.1
2013年式 スバル フォレスター 4WD 走行11.7万km ドライブレコーダー 新品タイヤ交換済 本革シート 車検切れ 鍵1本のみ,スバル,2013,11.7,1200,青,あり,71.7
2015年式 ホンダ N-BOX 4WD 走行7.3万km フルセグTV 禁煙車 鍵1本のみ,ホンダ,2015,7.3,2000,黒,なし,40.7
2022年式 ホンダ N-BOX 4WD 走行1.2万km 純正ナビ サンルーフ バッテリー要交換 修復歴あり 内装に汚れ,ホンダ,2022,1.2,1000,黒,なし,68.9
2013年式 日産 リーフ 4WD 走行9.1万km 車検切れ 修復歴あり,日産,2013,9.1,0,黒,あり,32.3
2016年式 トヨタ プリウス ハイブリッド 走行8.2万km 純正ナビ ドライブレコーダー サンルーフ,トヨタ,2016,8.2,660,パール,なし,91.8
2014年式 スズキ ハスラー G 走行12.7万km,スズキ,2014,12.7,2500,青,なし,30.8
2022年式 マツダ ロードスター X 走行1.9万km,マツダ,2022,1.9,2000,シルバー,なし,212.5
2012年式 トヨタ ハリアー G 走行12.4万km 本革シート 内装に汚れ,トヨタ,2012,12.4,660,シルバー,あり,62.4
2015年式 トヨタ ハリアー S 走行7.9万km,トヨタ,2015,7.9,2000,青,あり,94.9
2015年式 トヨタ プリウス 4WD 走行6.5万km ディーラー整備記録簿あり LEDヘッドライト 禁煙車 ドライブレコーダー ETC,トヨタ,2015,6.5,2000,青,あり,93.6
2019年式 マツダ デミオ ハイブリッド 走行5.0万km バックカメラ ETC タイヤ溝少なめ ナビ地図データ古い,マツダ,2019,5.0,1500,青,なし,72.1
2017年式 マツダ ロードスター 4WD 走行5.5万km ETC サンルーフ ディーラー整備記録簿あり 純正ナビ 車検切れ,マツダ,2017,5.5,2500,青,あり,115.5
2014年式 スバル インプレッサ S 走行8.9万km,スバル,2014,8.9,2500,パール,あり,50.1
2017年式 ホンダ ヴェゼル ハイブリッド 走行5.5万km 本革シート ワンオーナー,ホンダ,2017,5.5,660,シルバー,あり,124.3
2018年式 日産 セレナ ターボ 走行4.4万km,日産,2018,4.4,1200,シルバー,なし,134.1
2010年式 日産 ノート 4WD 走行9.7万km フルセグTV 純正ナビ ワンオーナー 両側パワースライドドア 本革シート,日産,2010,9.7,1000,白,あり,33.4
2016年式 スズキ スイフト Z 走行6.5万km 両側パワースライドドア 本革シート バックカメラ 修復歴あり,スズキ,2016,6.5,2500,黒,なし,36.4
2010年式 スバル インプレッサ Z 走行13.1万km サンルーフ フルセグTV 新品タイヤ交換済 タイヤ溝少なめ 車検切れ,スバル,2010,13.1,1800,黒,あり,26.5
2013年式 スバル インプレッサ S 走行10.2万km ディーラー整備記録簿あり 禁煙車 新品タイヤ交換済 ドライブレコーダー サンルーフ ナビ地図データ古い,スバル,2013,10.2,1000,赤,あり,55.8
2022年式 ホンダ ヴェゼル ターボ 走行2.0万km ETC 衝突被害軽減ブレーキ 両側パワースライドドア 本革シート,ホンダ,2022,2.0,1800,パール,なし,295.1
2011年式 日産 ノート G 走行12.2万km 両側パワースライドドア LEDヘッドライト 純正ナビ 衝突被害軽減ブレーキ 禁煙車,日産,2011,12.2,1800,黒,あり,34.2
2013年式 マツダ CX-5 Z 走行11.2万km 衝突被害軽減ブレーキ フルセグTV 両側パワースライドドア バックカメラ 修復歴あり タイヤ溝少なめ,マツダ,2013,11.2,1200,白,あり,44.2
2016年式 トヨタ アクア 4WD 走行7.6万km ETC フルセグTV LEDヘッドライト 両側パワースライドドア,トヨタ,2016,7.6,2000,赤,なし,62.3
2020年式 マツダ ロードスター X 走行3.2万km バックカメラ 新品タイヤ交換済,マツダ,2020,3.2,1500,青,なし,171.3
2018年式 ホンダ フィット S 走行5.8万km LEDヘッドライト 純正ナビ,ホンダ,2018,5.8,1200,青,なし,69.6
2020年式 トヨタ アクア ターボ 走行6.0万km ディーラー整備記録簿あり バックカメラ 衝突被害軽減ブレーキ 本革シート サンルーフ エアコン効き弱い バッテリー要交換,トヨタ,2020,6.0,660,白,なし,119.0
2018年式 トヨタ プリウス X 走行6.1万km ドライブレコーダー ワンオーナー 禁煙車 本革シート フルセグTV,トヨタ,2018,6.1,1200,シルバー,あり,130.1
2015年式 ホンダ ヴェゼル 4WD 走行9.0万km,ホンダ,2015,9.0,1200,白,あり,73.4
2014年式 ホンダ N-BOX S 走行8.0万km,ホンダ,2014,8.0,1200,パール,あり,35.5
2019年式 ホンダ N-BOX ターボ 走行4.2万km LEDヘッドライト ナビ地図データ古い 車検切れ,ホンダ,2019,4.2,2000,パール,あり,69.5
2012年式 スズキ ハスラー 特別仕様車 走行9.1万km 禁煙車 両側パワースライドドア LEDヘッドライト ドライブレコーダー バッテリー要交換,スズキ,2012,9.1,1000,青,あり,33.0
2011年式 マツダ ロードスター ターボ 走行12.9万km 衝突被害軽減ブレーキ ディーラー整備記録簿あり 内装に汚れ タイヤ溝少なめ,マツダ,2011,12.9,2000,白,あり,42.5
2009年式 スズキ ハスラー G 走行13.4万km,スズキ,2009,13.4,1200,シルバー,あり,17.9
2015年式 日産 セレナ Z 走行8.9万km 衝突被害軽減ブレーキ ディーラー整備記録簿あり 禁煙車 バッテリー要交換,日産,2015,8.9,1000,パール,あり,95.7
2023年式 トヨタ ハリアー 特別仕様車 走行1.1万km サンルーフ 新品タイヤ交換済 純正ナビ タイヤ溝少なめ,トヨタ,2023,1.1,1500,パール,あり,404.9
2017年式 スズキ ジムニー Z 走行7.2万km,スズキ,2017,7.2,1000,パール,あり,69.2
2021年式 日産 エクストレイル Z 走行3.2万km サンルーフ 新品タイヤ交換済 ドライブレコーダー,日産,2021,3.2,1200,青,なし,236.8
2015年式 スズキ スイフト G 走行8.1万km フルセグTV 純正ナビ ETC 衝突被害軽減ブレーキ エアコン効き弱い,スズキ,2015,8.1,2500,シルバー,なし,38.9
2014年式 日産 エクストレイル 4WD 走行11.0万km,日産,2014,11.0,1200,赤,あり,82.1
2014年式 スズキ ジムニー ハイブリッド 走行7.2万km,スズキ,2014,7.2,660,パール,あり,48.7
2018年式 スバル フォレスター 4WD 走行5.5万km ワンオーナー 純正ナビ 車検切れ,スバル,2018,5.5,660,赤,なし,166.6
2015年式 ホンダ N-BOX 4WD 走行7.2万km サンルーフ,ホンダ,2015,7.2,1800,シルバー,あり,46.0
2011年式 マツダ デミオ ターボ 走行12.6万km 衝突被害軽減ブレーキ 禁煙車 バックカメラ タイヤ溝少なめ,マツダ,2011,12.6,2500,赤,あり,25.1
2019年式 マツダ デミオ Z 走行4.3万km エアコン効き弱い,マツダ,2019,4.3,1500,青,なし,72.5
2009年式 マツダ デミオ X 走行13.2万km 衝突被害軽減ブレーキ サンルーフ バッテリー要交換,マツダ,2009,13.2,1500,白,なし,18.4
2010年式 トヨタ プリウス 4WD 走行12.5万km ETC ディーラー整備記録簿あり 純正ナビ 内装に汚れ,トヨタ,2010,12.5,1000,シルバー,あり,34.2
2013年式 マツダ ロードスター ターボ 走行9.6万km ETC バックカメラ,マツダ,2013,9.6,2000,青,あり,61.9
2011年式 トヨタ プリウス ターボ 走行10.7万km サンルーフ,トヨタ,2011,10.7,1000,シルバー,あり,41.1
2023年式 スバル フォレスター S 走行0.9万km ETC ディーラー整備記録簿あり,スバル,2023,0.9,2500,黒,あり,289.7
2010年式 スバル レヴォーグ 特別仕様車 走行12.9万km 衝突被害軽減ブレーキ ドライブレコーダー ETC,スバル,2010,12.9,1800,黒,なし,53.7
2015年式 ホンダ ヴェゼル 特別仕様車 走行6.6万km ETC 禁煙車 ワンオーナー 純正ナビ サンルーフ 車検切れ,ホンダ,2015,6.6,1500,白,あり,103.3
2011年式 マツダ デミオ G 走行14.4万km 禁煙車 ディーラー整備記録簿あり 本革シート ナビ地図データ古い,マツダ,2011,14.4,1200,青,なし,24.5
2012年式 スズキ ハスラー 特別仕様車 走行9.8万km,スズキ,2012,9.8,2500,黒,あり,27.4
2020年式 トヨタ カローラ X 走行3.0万km バックカメラ 禁煙車 ディーラー整備記録簿あり フルセグTV ドライブレコーダー,トヨタ,2020,3.0,1800,赤,あり,130.1
2018年式 トヨタ プリウス 4WD 走行5.4万km バッテリー要交換 修復歴あり,トヨタ,2018,5.4,1500,赤,あり,50.0
2020年式 マツダ デミオ 4WD 走行1.6万km ドライブレコーダー サンルーフ バックカメラ ワンオーナー 両側パワースライドドア,マツダ,2020,1.6,2500,青,あり,142.9
2023年式 トヨタ プリウス Z 走行0.5万km ディーラー整備記録簿あり 禁煙車 鍵1本のみ,トヨタ,2023,0.5,660,黒,あり,217.5
2016年式 スズキ ジムニー 4WD 走行6.1万km 新品タイヤ交換済 純正ナビ,スズキ,2016,6.1,660,白,あり,73.8
2021年式 スズキ スイフト Z 走行5.1万km 新品タイヤ交換済 純正ナビ 本革シート,スズキ,2021,5.1,1200,青,あり,115.4
2021年式 マツダ CX-5 X 走行0.8万km ドライブレコーダー 両側パワースライドドア LEDヘッドライト,マツダ,2021,0.8,1200,シルバー,あり,247.9
2009年式 マツダ デミオ 特別仕様車 走行14.0万km 車検切れ 鍵1本のみ,マツダ,2009,14.0,2500,黒,なし,15.0
2019年式 マツダ ロードスター X 走行1.7万km 純正ナビ 両側パワースライドドア フルセグTV,マツダ,2019,1.7,1200,赤,あり,177.6
2011年式 スバル フォレスター ターボ 走行12.3万km 純正ナビ ワンオーナー 鍵1本のみ バッテリー要交換,スバル,2011,12.3,1200,青,なし,52.2
2012年式 スズキ スイフト 4WD 走行9.4万km ETC 小キズ多数 内装に汚れ,スズキ,2012,9.4,1200,パール,あり,24.0
